time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010450100000	15.4767	20.0323	4.79477	2.64561	0.473594	lidar	1.34788	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.2694	20.1708	4.80758	2.65589	0.449902	radar	5.62307	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.0789	20.306	4.80335	2.6651	0.434614	lidar	1.72598	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8491	20.3861	4.8025	2.70846	0.479123	radar	2.28484	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6346	20.5055	4.81144	2.72433	0.469147	lidar	0.623573	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.4016	20.5889	4.82001	2.76657	0.517005	radar	1.36725	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.156	20.6618	4.83215	2.80036	0.52558	lidar	0.82659	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.9223	20.731	4.83568	2.83934	0.558709	radar	0.315971	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.6533	20.7904	4.86689	2.87646	0.567468	lidar	2.03698	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.4093	20.8185	4.86731	2.937	0.645483	radar	1.92314	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.1601	20.8591	4.87517	2.97246	0.64864	lidar	0.194338	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.9309	20.9184	4.87046	2.98947	0.618937	radar	1.86339	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.7192	20.9671	4.84719	3.01148	0.610275	lidar	1.69055	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.4722	21.0064	4.85796	3.03764	0.603286	radar	2.66306	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.2243	21.0436	4.86993	3.06207	0.595348	lidar	0.261476	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.9873	21.0634	4.86672	3.09265	0.602419	radar	0.863983	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.7391	21.0351	4.86137	3.13776	0.620963	lidar	1.72129	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.4938	21.0218	4.86006	3.17131	0.620153	radar	1.04403	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.269	21.0182	4.84297	3.19881	0.617324	lidar	0.596986	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	11.0179	20.9791	4.84823	3.23736	0.62322	radar	4.09256	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.798	20.9436	4.82442	3.27214	0.629683	lidar	0.48216	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.5475	20.9474	4.82676	3.26377	0.53302	radar	5.77905	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.276	20.9753	4.86862	3.26389	0.496517	lidar	3.51655	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.0363	20.9569	4.8683	3.2823	0.487789	radar	0.987677	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.82986	20.9233	4.83186	3.30665	0.490202	lidar	1.63264	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.588	20.9195	4.82536	3.29419	0.404442	radar	1.80389	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.38498	20.8719	4.78744	3.31992	0.413339	lidar	1.29499	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.15775	20.8307	4.7822	3.34459	0.428665	radar	1.59079	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.88158	20.7973	4.82828	3.35598	0.41417	lidar	1.79726	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.66136	20.7171	4.8169	3.39558	0.450896	radar	4.69942	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.39778	20.6313	4.85215	3.42513	0.457906	lidar	2.72027	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.16903	20.5497	4.8537	3.45935	0.484291	radar	0.19757	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.93037	20.4697	4.86388	3.48324	0.483381	lidar	0.124499	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.71443	20.3816	4.86073	3.52393	0.530535	radar	3.57289	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.42482	20.3221	4.92571	3.5279	0.498602	lidar	3.69292	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.19601	20.2242	4.9271	3.55167	0.493401	radar	0.225914	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.93719	20.1428	4.95964	3.56318	0.474935	lidar	0.964725	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.71296	20.0504	4.95404	3.5788	0.458427	radar	0.378507	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.46573	19.9614	4.9751	3.59023	0.442756	lidar	0.507132	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.24911	19.8666	4.96605	3.60901	0.44265	radar	2.69262	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	5.98987	19.7756	5.00008	3.61472	0.420247	lidar	1.15033	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.77253	19.6253	5.01757	3.66578	0.487414	radar	2.24935	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.58122	19.5041	4.99064	3.69221	0.491292	lidar	0.900205	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.38269	19.3532	4.98649	3.72904	0.512194	radar	1.66549	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.16298	19.2532	4.9858	3.73577	0.488165	lidar	1.8789	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452350000	4.96252	19.143	4.95899	3.73666	0.436062	radar	4.51117	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
1477010452400000	4.78967	18.9909	4.93317	3.7701	0.452491	lidar	0.607793	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305
1477010452450000	4.58643	18.8399	4.94658	3.80004	0.47485	radar	1.46626	3.98679	19.0452	4.63297	18.8689	-4.04263	-2.96359
